                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.66325,                 1.0495,                0.66668,                  1.039,                0.77027,                0.79358,                0.84569,                  0.678,                0.75759,                0.77523,                0.80705,                0.56497,                0.75048,                 1.3801,                0.76737,                 1.0135,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.6287,                0.99114,                0.62908,                 1.0142,                0.78386,                0.74771,                 0.8276,                0.67025,                0.79731,                0.75688,                0.83208,                 0.5669,                0.74553,                 1.3326,                0.75934,                  1.007,               0.000416,               0.000416,               0.000416
                     42,                0.62486,                0.97104,                0.59254,                 1.0242,                0.78299,                0.77523,                0.85307,                0.69258,                0.82893,                0.76606,                   0.84,                0.58655,                0.70984,                  1.358,                0.71913,                0.98797,              0.0003764,              0.0003764,              0.0003764
                     43,                0.61753,                0.92786,                0.57688,                 1.0088,                0.79878,                0.78302,                0.84375,                0.68384,                0.81366,                0.77064,                0.85019,                0.59465,                0.72342,                 1.2828,                0.73849,                0.99577,              0.0003368,              0.0003368,              0.0003368
                     44,                0.61577,                0.96724,                0.59009,                 1.0189,                0.80289,                0.76606,                0.84713,                 0.6912,                0.81971,                0.77982,                0.85027,                0.60753,                0.74318,                 1.3399,                 0.7389,                 1.0109,              0.0002972,              0.0002972,              0.0002972
                     45,                0.58681,                0.88427,                0.55899,                0.98554,                0.87243,                0.72936,                0.85878,                0.69989,                0.88889,                0.74312,                0.85582,                0.60546,                0.73396,                 1.3114,                0.73024,                 1.0025,              0.0002576,              0.0002576,              0.0002576
                     46,                0.60319,                0.85997,                0.55292,                 1.0007,                0.87409,                0.72936,                0.86037,                0.70961,                0.89209,                0.73853,                0.85419,                0.61134,                0.72624,                 1.2871,                0.71675,                 1.0058,               0.000218,               0.000218,               0.000218
                     47,                0.58439,                0.87544,                0.53193,                0.98045,                0.86816,                0.72498,                0.85988,                0.70891,                0.86463,                0.74771,                0.86167,                0.62086,                0.71893,                 1.2501,                0.72216,                 1.0003,              0.0001784,              0.0001784,              0.0001784
                     48,                0.56085,                0.85881,                0.53134,                0.96765,                 0.8366,                0.75155,                 0.8607,                0.70932,                0.82688,                0.76686,                0.85647,                0.61877,                 0.7023,                 1.2347,                 0.7167,                0.98468,              0.0001388,              0.0001388,              0.0001388
                     49,                0.55689,                0.85414,                0.51048,                0.97868,                0.80454,                 0.7844,                0.86243,                0.71425,                0.90207,                0.71829,                0.84906,                0.61813,                0.68636,                 1.2504,                0.70198,                0.97997,               9.92e-05,               9.92e-05,               9.92e-05
